question_concept_id	survey	item_name	encoding	include_exclude	external_analog	notes
43530559	Healthcare Access & Utilization	Insurance: Healthcare Coverage	one_hot	include		primary_full feature
43530562	Healthcare Access & Utilization	Health Advice: Place for Health Advice	one_hot	include		primary_full feature
43530583	Healthcare Access & Utilization	Delayed Medical Care: Can't Afford Co-pay	ordinal	include		primary_full feature
43530584	Healthcare Access & Utilization	Delayed Medical Care: Had To Pay Out Of Pocket	ordinal	include		primary_full feature
43530585	Healthcare Access & Utilization	Delayed Medical Care: Deductible Too High	ordinal	include		primary_full feature
43530588	Healthcare Access & Utilization	Health Advice: General Doctor Visits	one_hot	include		primary_full feature
43530589	Healthcare Access & Utilization	Health Advice: Chiropractor Visits	one_hot	include		primary_full feature
43530590	Healthcare Access & Utilization	Health Advice: Podiatrist Visits	one_hot	include		primary_full feature
43530591	Healthcare Access & Utilization	Health Advice: Eye Doctor Visits	one_hot	include		primary_full feature
43530592	Healthcare Access & Utilization	Health Advice: Physical Therapist, Speech Therapist, Respiratory Therapist, Audiologist, or Occupational Therapist Visits	one_hot	include		primary_full feature
43530593	Healthcare Access & Utilization	Health Advice: What Kind Of Place	one_hot	include		primary_full feature
43530594	Healthcare Access & Utilization	Delayed Medical Care: Nervous	ordinal	include		primary_full feature
43530595	Healthcare Access & Utilization	Health Advice: Spoken To Professional	one_hot	include		primary_full feature
zip3_ses	zip3_ses_map	deprivation_index	numeric	include	Townsend deprivation index	derived area-SES; raw ZIP not used
zip3_ses	zip3_ses_map	median_income	numeric	include		derived area-SES; raw ZIP not used
zip3_ses	zip3_ses_map	fraction_poverty	numeric	include		derived area-SES; raw ZIP not used
zip3_ses	zip3_ses_map	fraction_assisted_income	numeric	include		derived area-SES; raw ZIP not used
zip3_ses	zip3_ses_map	fraction_no_health_ins	numeric	include		derived area-SES; raw ZIP not used
zip3_ses	zip3_ses_map	fraction_vacant_housing	numeric	include		derived area-SES; raw ZIP not used
